Plot no.,Species,Dbh,Status,Decay Class,Con Class (Fule),per ha conversion,Annual Growth to Subtract,25% Death Date,25% 1922 DBH (dib),25% 1922 DBH (dob),25% 1922 Size bin ,25% 1922 BA (m²),25% 1922 Density (ha-1),50% Death Date,50% 1922 DBH (dib),50% 1922 DBH (dob),50% 1922 Size bin,50% 1922 BA (m²),50% 1922 Density (ha-1),75% Death Date,75% 1922 DBH (dib),75% 1922 DBH (dob),75% 1922 Size bin,75% 1922 BA (m²),75% 1922 Density (ha-1)
132,PSME,15.1,2,1,3,25,0.190243902,2004,15.1,15.1,1,0.017907905,25,2004,15.1,15.1,1,0.017907905,25,2004,15.1,15.1,1,0.017907905,25
132,PSME,15.2,2,1,3,25,0.190243902,2004,15.2,15.2,1,0.018145882,25,2004,15.2,15.2,1,0.018145882,25,2004,15.2,15.2,1,0.018145882,25
132,PSME,15.3,2,1,3,25,0.190243902,2004,15.3,15.3,1,0.018385429,25,2004,15.3,15.3,1,0.018385429,25,2004,15.3,15.3,1,0.018385429,25
132,PSME,15.6,2,1,3,25,0.190243902,2004,15.6,15.6,1,0.019113494,25,2004,15.6,15.6,1,0.019113494,25,2004,15.6,15.6,1,0.019113494,25
132,PSME,15.6,2,1,3,25,0.190243902,2004,15.6,15.6,1,0.019113494,25,2004,15.6,15.6,1,0.019113494,25,2004,15.6,15.6,1,0.019113494,25
132,PSME,17.3,2,1,3,25,0.190243902,2004,17.3,17.3,2,0.023506237,25,2004,17.3,17.3,2,0.023506237,25,2004,17.3,17.3,2,0.023506237,25
132,PSME,17.7,2,1,3,25,0.190243902,2004,17.7,17.7,2,0.024605797,25,2004,17.7,17.7,2,0.024605797,25,2004,17.7,17.7,2,0.024605797,25
132,PSME,18.1,2,1,3,25,0.190243902,2004,18.1,18.1,2,0.025730489,25,2004,18.1,18.1,2,0.025730489,25,2004,18.1,18.1,2,0.025730489,25
132,QUGA,5,3,4,5,25,0.075609756,1986,3.63902439,3.63902439,sap,0.001040066,0,1995,4.319512195,4.319512195,sap,0.001465414,0,1998,4.546341463,4.546341463,sap,0.001623361,0
132,QUGA,6.5,2,3,4,25,0.075609756,1996,5.895121951,5.895121951,1,0.002729458,25,2000,6.197560976,6.197560976,1,0.003016703,25,2002,6.348780488,6.348780488,1,0.003165713,25
132,QUGA,7,3,4,5,25,0.075609756,1986,5.63902439,5.63902439,1,0.002497462,25,1995,6.319512195,6.319512195,1,0.003136592,25,1998,6.546341463,6.546341463,1,0.003365799,25
136,PIST,13.6,2,2,3,25,0.136585366,2004,13.6,13.6,1,0.014526758,25,2004,13.6,13.6,1,0.014526758,25,2004,13.6,13.6,1,0.014526758,25
