Plot no.,Species,DBH (2004),2004 size bin,known age,predicted age,2004 age bin, 2004 Density (ha-1),2004BA (m2),Distance from 1922 (cm),DBH (1922),1922 size bin,1922 Density (ha-1),1922 BA (m2),,,,,,
28,PIPO,24,2,0,102,6,25,0.0452390,8.5,7.0,1,25,0.003848,,,,,,
29,PSME,21.2,2,0,104,6,25,0.0352990,7.8,5.6,1,25,0.002463,,,,,,
29,PSME,30.1,3,107,107,6,25,0.0711580,7.8,14.5,1,25,0.016513,,,,,,
29,PSME,30.5,3,110,110,6,25,0.0730618,7.8,14.9,1,25,0.017437,,,,,,
29,QUGA,16.3,2,0,89,5,25,0.0208673,3.1,10.1,1,25,0.008012,,,,,,
29,QUGA,19.2,2,0,96,5,25,0.0289530,3.1,13.0,1,25,0.013273,,,,,,
30,PIST,16.5,2,0,89,5,25,0.0213825,5.6,5.3,1,25,0.002206,,,,,,
30,PSME,26.5,3,133,133,7,25,0.0551547,7.8,10.9,1,25,0.009331,,,,,,
30,QUGA,12.1,1,0,81,5,25,0.0114990,3.1,5.9,1,25,0.002734,,,,,,
31,PSME,21.3,2,0,106,6,25,0.0356328,7.8,5.7,1,25,0.002552,,,,,,
31,PSME,22.3,2,0,109,6,25,0.0390572,7.8,6.7,1,25,0.003526,,,,,,
31,PSME,23.5,2,0,110,6,25,0.0433737,7.8,7.9,1,25,0.004902,,,,,,
31,PSME,24.5,2,0,112,6,25,0.0471436,7.8,8.9,1,25,0.006221,,,,,,
31,PSME,24.5,2,0,112,6,25,0.0471436,7.8,8.9,1,25,0.006221,,,,,,
31,PSME,24.5,2,0,112,6,25,0.0471436,7.8,8.9,1,25,0.006221,,,,,,
31,PSME,24.5,2,0,113,6,25,0.0471436,7.8,8.9,1,25,0.006221,,,,,,
31,PSME,26,3,0,116,6,25,0.0530930,7.8,10.4,1,25,0.008495,,,,,,
31,PSME,26.1,3,0,116,6,25,0.0535022,7.8,10.5,1,25,0.008659,,,,,,
31,PSME,26.4,3,0,119,6,25,0.0547392,7.8,10.8,1,25,0.009161,,,,,,
31,PSME,28,3,0,122,7,25,0.0615754,7.8,12.4,1,25,0.012076,,,,,,
32,PIPO,24.8,2,0,108,6,25,0.0483052,8.5,7.8,1,25,0.004778,,,,,,
32,PIPO,26.5,3,0,115,6,25,0.0551547,8.5,9.5,1,25,0.007088,,,,,,
32,PIST,22.4,2,109,109,6,25,0.0394082,5.6,11.2,1,25,0.009852,,,,,,
32,PIST,23.1,2,0,107,6,25,0.0419097,5.6,11.9,1,25,0.011122,,,,,,
32,PIST,23.8,2,112,112,6,25,0.0444882,5.6,12.6,1,25,0.012469,,,,,,
32,QUGA,12.7,1,0,82,5,25,0.0126677,3.1,6.5,1,25,0.003318,,,,,,
32,QUGA,16.5,2,138,138,7,25,0.0213825,3.1,10.3,1,25,0.008332,,,,,,
33,PIST,18.9,2,100,100,5,25,0.0280553,5.6,7.7,1,25,0.004657,,,,,,
33,PIST,22.8,2,106,106,6,25,0.0408282,5.6,11.6,1,25,0.010568,,,,,,
33,PIST,25.5,2,82,82,5,25,0.0510706,5.6,14.3,1,25,0.016061,,,,,,
33,QUGA,12.7,1,0,81,5,25,0.0126677,3.1,6.5,1,25,0.003318,,,,,,
33,QUGA,16.2,2,148,148,8,25,0.0206120,3.1,10.0,1,25,0.007854,,,,,,
33,QUGA,17.5,2,0,92,5,25,0.0240529,3.1,11.3,1,25,0.010029,,,,,,
33,QUGA,17.8,2,0,95,5,25,0.0248846,3.1,11.6,1,25,0.010568,,,,,,
33,QUGA,21.4,2,0,101,6,25,0.0359682,3.1,15.2,1,25,0.018146,,,,,,
33,QUGA,21.4,2,0,102,6,25,0.0359682,3.1,15.2,1,25,0.018146,,,,,,
34,QUGA,12.8,1,105,105,6,25,0.0128680,3.1,6.6,1,25,0.003421,,,,,,
34,QUGA,13.4,1,0,84,5,25,0.0141026,3.1,7.2,1,25,0.004072,,,,,,
35,PIST,16.7,2,0,87,5,25,0.0219040,5.6,5.5,1,25,0.002376,,,,,,
35,PIST,20.5,2,99,99,5,25,0.0330064,5.6,9.3,1,25,0.006793,,,,,,
35,PIST,20.9,2,0,101,6,25,0.0343071,5.6,9.7,1,25,0.007390,,,,,,
35,PIST,22,2,110,110,6,25,0.0380134,5.6,10.8,1,25,0.009161,,,,,,
35,QUGA,12.3,1,123,123,7,25,0.0118823,3.1,6.1,1,25,0.002922,,,,,,
35,QUGA,14.5,1,122,122,7,25,0.0165130,3.1,8.3,1,25,0.005411,,,,,,
35,QUGA,15,1,0,86,5,25,0.0176715,3.1,8.8,1,25,0.006082,,,,,,
